count,mean,std,min,50%,max,t,p,r,f1,mcp,mcr,mcf1,batch_size,hashtag_split,svd,binary,tfidf_weights,save,save_results,lang,dataset,annotation,text+,remove_mentions,sub_model,model,window,distance,datetime_of_run,ami,ari,cluster_algo,daily
11521.0,6.318027948962763,35.801352911270605,1.0,1.0,1685.0,0.25,0.9359767517456984,0.5758924963207265,0.6635922434660979,0.9516981132075472,0.8863636363636364,0.917869707630717,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,WhereIsAI/UAE-Large-V1,sbert,2504,cosine,,,,,
7609.0,9.566303062163229,60.06297387507833,1.0,1.0,3579.0,0.28,0.909826440305584,0.6293163660759623,0.6897651080910373,0.92579185520362,0.871900826446281,0.8980385712294657,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,WhereIsAI/UAE-Large-V1,sbert,2504,cosine,,,,,
6630.0,10.978883861236802,71.15094686627086,1.0,1.0,3978.0,0.29,0.8964267881162529,0.6524605553109181,0.6987453729730655,0.9126117179741808,0.8533057851239669,0.8819628970810527,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,WhereIsAI/UAE-Large-V1,sbert,2504,cosine,,,,,
5778.0,12.59778470058844,80.67764672824246,1.0,1.0,4305.0,0.3,0.880687982992285,0.6700747170001095,0.70027093034718,0.9057203389830508,0.8347107438016529,0.8687669455077742,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,WhereIsAI/UAE-Large-V1,sbert,2504,cosine,,,,,
4985.0,14.601805416248746,93.9245865907443,1.0,1.0,4559.0,0.31,0.8692786852576793,0.687670401921414,0.7007768995245921,0.899548532731377,0.8119834710743802,0.8535260087254376,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,WhereIsAI/UAE-Large-V1,sbert,2504,cosine,,,,,
4344.0,16.75644567219153,106.00334768902582,1.0,1.0,4741.0,0.32,0.8454004769641948,0.703736668888901,0.6935565243960276,0.8917910447761194,0.7830578512396694,0.8338949035204006,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,WhereIsAI/UAE-Large-V1,sbert,2504,cosine,,,,,
2969.0,24.516672280229034,147.31616007455267,1.0,1.0,5503.0,0.35,0.7755670978654572,0.7408594584905771,0.6655736477638248,0.8541996830427893,0.6900826446280992,0.7634204779170112,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,WhereIsAI/UAE-Large-V1,sbert,2504,cosine,,,,,
2004.0,36.32235528942116,212.1305560734037,1.0,1.0,5771.0,0.38,0.7169564130890214,0.7582047785362374,0.6217332154024431,0.8436293436293436,0.5950413223140496,0.6978585607665265,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,WhereIsAI/UAE-Large-V1,sbert,2504,cosine,,,,,
1539.0,47.29694606887589,280.392298208133,1.0,1.0,5965.0,0.4,0.6493811730567077,0.7796785958257536,0.5769274690019758,0.8239277652370203,0.518595041322314,0.6365401784938841,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,WhereIsAI/UAE-Large-V1,sbert,2504,cosine,,,,,
731.0,99.57592339261286,718.4279074958307,1.0,2.0,13765.0,0.45,0.5008643212621241,0.7855323026016094,0.4278767676467864,0.7717391304347826,0.3636363636363636,0.4943429068755439,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,WhereIsAI/UAE-Large-V1,sbert,2504,cosine,,,,,
238.0,305.84033613445376,3250.659228131712,1.0,3.0,50022.0,0.5,0.2786771454968006,0.7742292727021639,0.1995980375247183,0.7264150943396226,0.146694214876033,0.2440951913202661,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,WhereIsAI/UAE-Large-V1,sbert,2504,cosine,,,,,
21188.0,3.435435151972815,17.2847006276206,1.0,1.0,629.0,0.6,0.9504059798690736,0.4868185015958478,0.5962200370801477,0.96936821952776,0.8925619834710744,0.9293809395668984,8,True,False,True,False,False,True,en,data/event2012.tsv,annotated,False,False,,tfidf_all_tweets,2504,cosine,,,,,
15498.0,4.696735062588721,24.461537623791948,1.0,1.0,899.0,0.65,0.9323003077588352,0.5571836362869101,0.6469581501729388,0.9530386740331492,0.8966942148760331,0.9240082940435932,8,True,False,True,False,False,True,en,data/event2012.tsv,annotated,False,False,,tfidf_all_tweets,2504,cosine,,,,,
10088.0,7.215503568596352,38.02976806620589,1.0,1.0,1627.0,0.7,0.8972881698711443,0.6180984442623488,0.6761622620709914,0.9231987331749802,0.8657024793388429,0.8935266258878268,8,True,False,True,False,False,True,en,data/event2012.tsv,annotated,False,False,,tfidf_all_tweets,2504,cosine,,,,,
5676.0,12.82417195207893,66.24861800384927,1.0,1.0,1728.0,0.75,0.826150480840702,0.6690893603508938,0.6667227724944027,0.8650306748466258,0.7892561983471075,0.8254080147115164,8,True,False,True,False,False,True,en,data/event2012.tsv,annotated,False,False,,tfidf_all_tweets,2504,cosine,,,,,
2578.0,28.23506594259116,156.22654956353875,1.0,1.0,4092.0,0.8,0.7089880311575499,0.6863380240939209,0.5847915463057848,0.7971473851030111,0.628099173553719,0.7025978919122579,8,True,False,True,False,False,True,en,data/event2012.tsv,annotated,False,False,,tfidf_all_tweets,2504,cosine,,,,,
10338.0,7.04101373573225,35.49380859938831,1.0,1.0,1443.0,0.55,0.9193620942827428,0.5569447603752219,0.6420835681316827,0.9431216931216932,0.8946280991735537,0.9182350841710784,8,True,False,True,False,False,True,en,data/event2012.tsv,annotated,False,False,,tfidf_dataset,2504,cosine,,,,,
6806.0,10.694975022039378,58.52537743819335,1.0,1.0,2658.0,0.6,0.8865781250947188,0.6150434443457836,0.6648689553824835,0.9183346677341874,0.8491735537190083,0.8824010025391044,8,True,False,True,False,False,True,en,data/event2012.tsv,annotated,False,False,,tfidf_dataset,2504,cosine,,,,,
4231.0,17.20397069250768,99.24617406717596,1.0,1.0,4535.0,0.65,0.8489702768391095,0.6614308335138741,0.6716838633981375,0.8939544103072349,0.7975206611570248,0.8429886131697905,8,True,False,True,False,False,True,en,data/event2012.tsv,annotated,False,False,,tfidf_dataset,2504,cosine,,,,,
2454.0,29.661776691116543,165.19606909751994,1.0,1.0,5903.0,0.7,0.7744971316976126,0.6980077062141448,0.6441961700920501,0.8491048593350383,0.731404958677686,0.7858723779847676,8,True,False,True,False,False,True,en,data/event2012.tsv,annotated,False,False,,tfidf_dataset,2504,cosine,,,,,
1315.0,55.35361216730038,279.8584151847639,1.0,2.0,6772.0,0.75,0.6614103917102423,0.7105332146788348,0.5570804328474057,0.8037383177570093,0.5826446280991735,0.6755619933702888,8,True,False,True,False,False,True,en,data/event2012.tsv,annotated,False,False,,tfidf_dataset,2504,cosine,,,,,
41064.0,2.332846288720047,17.40549165869243,1.0,1.0,1872.0,0.6,0.976364151913996,0.5597467331415853,0.6654131191361972,0.9809911744738627,0.9549180327868853,0.9677790249630276,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,,tfidf_all_tweets,4352,cosine,,,,,
31854.0,3.007346016198908,26.56033558281394,1.0,1.0,2346.0,0.65,0.9626026294557544,0.6145817579201885,0.7124484387053289,0.9660889223813112,0.9426229508196722,0.9542116896271632,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,,tfidf_all_tweets,4352,cosine,,,,,
21918.0,4.3706542567752535,43.96979970677033,1.0,1.0,2632.0,0.7,0.9414183311278974,0.6666991588971088,0.7469578367332707,0.9504504504504504,0.9467213114754098,0.9485822159079852,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,,tfidf_all_tweets,4352,cosine,,,,,
12563.0,7.625248746318554,87.59115599800496,1.0,1.0,5109.0,0.75,0.9017322824755029,0.7158147092404,0.7527310109807626,0.931899641577061,0.9098360655737704,0.9207356952575412,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,,tfidf_all_tweets,4352,cosine,,,,,
